iso3c,year,wbl_index
BLZ,2011,76.9
BLZ,2012,76.9
BLZ,2013,79.4
BLZ,2014,79.4
BLZ,2015,79.4
BLZ,2016,79.4
BLZ,2017,79.4
BLZ,2018,79.4
BLZ,2019,79.4
BLZ,2020,79.4
BOL,1971,36.9
BOL,1972,36.9
BOL,1973,36.9
BOL,1974,53.8
BOL,1975,53.8
BOL,1976,53.8
BOL,1977,53.8
BOL,1978,53.8
BOL,1979,53.8
BOL,1980,53.8
BOL,1981,53.8
BOL,1982,53.8
BOL,1983,53.8
BOL,1984,53.8
BOL,1985,53.8
BOL,1986,53.8
BOL,1987,53.8
BOL,1988,53.8
BOL,1989,56.3
BOL,1990,56.3
BOL,1991,56.3
BOL,1992,56.3
BOL,1993,56.3
BOL,1994,56.3
BOL,1995,56.3
BOL,1996,56.3
BOL,1997,58.8
BOL,1998,58.8
BOL,1999,58.8
BOL,2000,58.8
BOL,2001,58.8
BOL,2002,58.8
BOL,2003,58.8
BOL,2004,58.8
BOL,2005,58.8
BOL,2006,58.8
BOL,2007,58.8
BOL,2008,58.8
BOL,2009,61.9
BOL,2010,65.0
BOL,2011,65.0
BOL,2012,68.1
BOL,2013,68.1
BOL,2014,76.9
BOL,2015,76.9
BOL,2016,82.5
BOL,2017,82.5
BOL,2018,82.5
BOL,2019,82.5
BOL,2020,82.5
BRA,1971,33.8
BRA,1972,33.8
BRA,1973,33.8
BRA,1974,33.8
BRA,1975,30.6
BRA,1976,30.6
BRA,1977,30.6
BRA,1978,30.6
BRA,1979,33.1
BRA,1980,33.1
BRA,1981,33.1
BRA,1982,33.1
BRA,1983,33.1
BRA,1984,33.1
BRA,1985,33.1
BRA,1986,33.1
BRA,1987,33.1
BRA,1988,33.1
BRA,1989,33.1
BRA,1990,41.3
BRA,1991,50.6
BRA,1992,50.6
BRA,1993,50.6
BRA,1994,50.6
BRA,1995,50.6
BRA,1996,50.6
BRA,1997,50.6
BRA,1998,50.6
BRA,1999,50.6
BRA,2000,56.9
BRA,2001,56.9
BRA,2002,63.1
BRA,2003,79.4
BRA,2004,79.4
BRA,2005,79.4
BRA,2006,79.4
BRA,2007,79.4
BRA,2008,81.9
BRA,2009,81.9
BRA,2010,81.9
BRA,2011,81.9
BRA,2012,81.9
BRA,2013,81.9
BRA,2014,81.9
BRA,2015,81.9
BRA,2016,81.9
BRA,2017,81.9
BRA,2018,81.9
BRA,2019,81.9
BRA,2020,81.9
BRB,1971,60.0
BRB,1972,60.0
BRB,1973,60.0
BRB,1974,60.0
BRB,1975,60.0
BRB,1976,60.0
BRB,1977,60.0
BRB,1978,62.5
BRB,1979,62.5
BRB,1980,62.5
BRB,1981,65.6
BRB,1982,65.6
BRB,1983,68.1
BRB,1984,68.1
BRB,1985,68.1
BRB,1986,68.1
BRB,1987,68.1
BRB,1988,68.1
BRB,1989,68.1
BRB,1990,68.1
BRB,1991,68.1
BRB,1992,68.1
BRB,1993,70.6
BRB,1994,70.6
BRB,1995,70.6
BRB,1996,70.6
BRB,1997,70.6
BRB,1998,70.6
BRB,1999,70.6
BRB,2000,70.6
BRB,2001,70.6
BRB,2002,70.6
BRB,2003,70.6
BRB,2004,70.6
BRB,2005,70.6
BRB,2006,70.6
BRB,2007,70.6
BRB,2008,70.6
BRB,2009,70.6
BRB,2010,70.6
BRB,2011,70.6
BRB,2012,70.6
BRB,2013,70.6
BRB,2014,70.6
BRB,2015,70.6
BRB,2016,70.6
BRB,2017,70.6
BRB,2018,70.6
BRB,2019,76.9
BRB,2020,76.9
BRN,1971,38.8
BRN,1972,38.8
BRN,1973,38.8
BRN,1974,38.8
BRN,1975,38.8
BRN,1976,38.8
BRN,1977,38.8
BRN,1978,38.8
BRN,1979,38.8
BRN,1980,38.8
BRN,1981,38.8
BRN,1982,38.8
BRN,1983,38.8
BRN,1984,38.8
BRN,1985,41.9
BRN,1986,41.9
BRN,1987,41.9
BRN,1988,41.9
BRN,1989,41.9
BRN,1990,41.9
BRN,1991,41.9
BRN,1992,41.9
BRN,1993,41.9
BRN,1994,41.9
BRN,1995,41.9
BRN,1996,41.9
BRN,1997,41.9
BRN,1998,41.9
BRN,1999,41.9
BRN,2000,41.9
BRN,2001,46.9
BRN,2002,46.9
BRN,2003,46.9
BRN,2004,46.9
BRN,2005,46.9
BRN,2006,46.9
BRN,2007,46.9
BRN,2008,46.9
BRN,2009,46.9
BRN,2010,46.9
BRN,2011,53.1
BRN,2012,53.1
BRN,2013,53.1
BRN,2014,53.1
BRN,2015,53.1
BRN,2016,53.1
BRN,2017,53.1
BRN,2018,53.1
BRN,2019,53.1
BRN,2020,53.1
BTN,1971,55.0
BTN,1972,55.0
BTN,1973,55.0
BTN,1974,55.0
BTN,1975,55.0
BTN,1976,55.0
BTN,1977,55.0
BTN,1978,55.0
BTN,1979,55.0
BTN,1980,55.0
BTN,1981,55.0
BTN,1982,55.0
BTN,1983,55.0
